Participant,Condition,Block,Task,Trial,Target.x,Target.y,Targetsize.b,Targetsize.l,Target Area,MousePositions.x,MousePositions.y,Error.x,Error.y,Euclidean_distance_error,,Error_count,Target_count,Target Area
15,Smart Rotate Pointer,2D Task,2D Target Selection Task,2,36,28,94,76,7144,19,46,0,0,0,,0,1,12771
15,Smart Rotate Pointer,2D Task,2D Target Selection Task,3,725,92,126,115,14490,69,105,0,0,0,,0,1,12810
15,Smart Rotate Pointer,2D Task,2D Target Selection Task,4,652,256,94,94,8836,44,48,0,0,0,,0,1,12870
15,Smart Rotate Pointer,2D Task,2D Target Selection Task,7,165,115,99,84,8316,47,26,0,0,0,,0,1,12876
15,Smart Rotate Pointer,2D Task,2D Target Selection Task,11,143,175,97,78,7566,60,29,0,0,0,,0,1,13144
15,Smart Rotate Pointer,2D Task,2D Target Selection Task,12,498,121,58,114,6612,171,428,0,0,0,,0,1,13158
15,Smart Rotate Pointer,2D Task,2D Target Selection Task,15,342,308,95,112,10640,38,28,568,345,617.5670004,,1,1,13340
15,Smart Rotate Pointer,2D Task,2D Target Selection Task,17,440,254,117,110,12870,55,41,0,0,0,,0,1,13407
15,Smart Rotate Pointer,2D Task,2D Target Selection Task,21,245,296,125,70,8750,93,26,193,393,380.3800731,,1,1,13570
15,Smart Rotate Pointer,2D Task,2D Target Selection Task,23,612,228,80,93,7440,17,45,167,415,399.2492956,,1,1,13688
15,Smart Rotate Pointer,2D Task,2D Target Selection Task,24,406,198,98,82,8036,48,39,217,383,383.2714443,,1,1,13688
15,Smart Rotate Pointer,2D Task,2D Target Selection Task,25,740,189,65,125,8125,0,36,0,0,0,,0,1,13804
15,Smart Rotate Pointer,2D Task,2D Target Selection Task,26,156,96,110,78,8580,17,84,0,0,0,,0,1,13824
15,Smart Trackball,2D Task,2D Target Selection Task,3,771,235,110,121,13310,18,35,0,0,0,,0,1,14036
15,Smart Trackball,2D Task,2D Target Selection Task,6,332,171,98,66,6468,24,32,0,0,0,,0,1,14278
15,Smart Trackball,2D Task,2D Target Selection Task,8,653,30,113,105,11865,137,350,0,0,0,,0,1,14490
15,Smart Trackball,2D Task,2D Target Selection Task,12,784,163,110,100,11000,30,48,0,0,0,,0,1,14820
15,Smart Trackball,2D Task,2D Target Selection Task,15,581,110,113,100,11300,33,8,0,0,0,,0,1,14859
15,Smart Trackball,2D Task,2D Target Selection Task,16,271,28,100,102,10200,39,17,0,0,0,,0,1,14950
15,Smart Trackball,2D Task,2D Target Selection Task,17,563,348,57,127,7239,68,50,0,0,0,,0,1,15004
15,Smart Trackball,2D Task,2D Target Selection Task,18,406,198,101,91,9191,30,33,0,0,0,,0,1,15129
15,Smart Trackball,2D Task,2D Target Selection Task,19,203,84,94,112,10528,44,66,0,0,0,,0,1,15372
15,Smart Trackball,2D Task,2D Target Selection Task,21,414,301,85,102,8670,22,35,0,0,0,,0,1,15488
15,Smart Trackball,2D Task,2D Target Selection Task,23,545,11,105,87,9135,85,17,0,0,0,,0,1,15730
15,Smart Trackball,2D Task,2D Target Selection Task,24,259,210,56,122,6832,21,31,0,0,0,,0,1,15867
15,Smart Trackball,2D Task,2D Target Selection Task,25,131,84,121,75,9075,143,396,0,0,0,,0,1,15876
15,Smart Trackball,2D Task,2D Target Selection Task,26,826,322,103,68,7004,34,73,0,0,0,,0,1,16000
