Participant,Condition,Block,Task,Trial,Target.x,Target.y,Targetsize.b,Targetsize.l,Target Area,MousePositions.x,MousePositions.y,Error.x,Error.y,Euclidean_distance_error,,Error_count,Target_count,Target Area_sort,,,,,,,,,,,,,,
2,Smart Trackball,2D Task,2D Target Selection Task,2,675,290,71,44,3124,33,25,0,0,0,,0,1,1914,,,,,,,,,,,,,,
2,Smart Trackball,2D Task,2D Target Selection Task,3,47,119,55,56,3080,36,14,0,0,0,,0,1,1920,,,,,,,,,,,,,,
2,Smart Trackball,2D Task,2D Target Selection Task,4,174,280,108,37,3996,50,4,0,0,0,,0,1,1920,,,,,,,,,,,,,,
2,Smart Trackball,2D Task,2D Target Selection Task,5,108,37,116,44,5104,68,35,0,0,0,,0,1,1925,,,,,,,,,,,,,,
2,Smart Trackpad,2D Task,2D Target Selection Task,1,493,114,89,41,3649,76,6,0,0,0,,0,1,1927,,,,,,,,,,,,,,
2,Smart Trackpad,2D Task,2D Target Selection Task,2,23,265,116,98,11368,28,48,0,0,0,,0,1,1936,,,,,,,,,,,,,,
2,Smart Trackpad,2D Task,2D Target Selection Task,3,745,4,66,108,7128,58,99,0,0,0,,0,1,1972,,,,,,,,,,,,,,
2,Smart Trackpad,2D Task,2D Target Selection Task,4,829,189,61,80,4880,31,38,0,0,0,,0,1,1984,,,,,,,,,,,,,,
2,Smart Trackpad,2D Task,2D Target Selection Task,5,929,43,72,93,6696,23,38,0,0,0,,0,1,2006,,,,,,,,,,,,,,
2,Smart Trackpad,2D Task,2D Target Selection Task,6,725,79,31,55,1705,19,41,0,0,0,,0,1,2021,,,,,,,,,,,,,,
2,Smart Trackpad,2D Task,2D Target Selection Task,7,295,205,74,129,9546,50,50,0,0,0,,0,1,2028,,,,,,,,,,,,,,
2,Smart Trackpad,2D Task,2D Target Selection Task,8,362,342,44,100,4400,29,50,0,0,0,,0,1,2030,,,,,,,,,,,,,,
2,Smart Tilt Pointer,2D Task,2D Target Selection Task,1,640,258,60,88,5280,55,25,35,13,23.32380758,,1,1,2040,,,,,,,,,,,,,,
2,Smart Tilt Pointer,2D Task,2D Target Selection Task,2,175,191,109,123,13407,29,40,0,0,0,,0,1,2040,,,,,,,,,,,,,,
2,Smart Tilt Pointer,2D Task,2D Target Selection Task,3,926,78,110,111,12210,4,63,42,48,40.85339643,,1,1,2052,,,,,,,,,,,,,,
2,Smart Tilt Pointer,2D Task,2D Target Selection Task,4,330,30,109,73,7957,58,43,0,0,0,,0,1,2070,,,,,,,,,,,,,,
2,Smart Rotate Pointer,2D Task,2D Target Selection Task,1,108,91,90,34,3060,20,29,0,0,0,,0,1,2080,,,,,,,,,,,,,,
2,Smart Rotate Pointer,2D Task,2D Target Selection Task,2,543,198,65,103,6695,41,10,29,33,25.94224354,,1,1,2080,,,,,,,,,,,,,,
2,Smart Rotate Pointer,2D Task,2D Target Selection Task,3,1034,178,42,67,2814,38,531,57,9,522.345671,,1,1,2107,,,,,,,,,,,,,,
