Participant,Condition,Block,Task,Trial,template.tx,final.tx,template.ty,final.ty,Start Time,End Time,timems,txdiff,tydiff,Euclidean_distance_error
13,Smart Rotate Pointer,3D Task,3D Cube Translation,2,6.24,5.9,-2.5,-2.46,19:14:03,19:14:38,35001,-0.34,0.04,0.342344855
13,Smart Tilt Pointer,3D Task,3D Cube Translation,1,-2.16,-5,-1.61,0,19:30:44,19:31:18,33781,-2.84,1.61,3.2646133
13,Smart Tilt Pointer,3D Task,3D Cube Translation,2,-6.06,-6.02,4.97,4.82,19:31:19,19:31:59,40100,0.04,-0.15,0.155241747
13,Smart Trackball,3D Task,3D Cube Translation,1,13.46,13.58,-7.61,-7.28,19:48:06,19:48:35,28385,0.12,0.33,0.351140997
13,Smart Trackball,3D Task,3D Cube Translation,2,14.01,14.04,-2.39,-2.44,19:49:01,19:49:25,23581,0.03,-0.05,0.058309519
14,Smart Tilt Pointer,3D Task,3D Cube Translation,1,-6.6,-6.45,1.82,1.8,3:02:29,3:02:56,27076,0.15,-0.02,0.15132746
14,Smart Tilt Pointer,3D Task,3D Cube Translation,2,-1.55,-1.5,3.19,3.3,3:03:17,3:03:42,25210,0.05,0.11,0.12083046
14,Smart Trackball,3D Task,3D Cube Translation,1,-1.02,-0.85,-1.05,-1.05,3:29:11,3:29:46,35459,0.17,0,0.17
14,Smart Trackball,3D Task,3D Cube Translation,2,-9.79,-9.9,1.01,1.15,3:30:02,3:30:30,1380,-0.11,0.14,0.178044938
14,Smart Rotate Pointer,3D Task,3D Cube Translation,1,-2.53,-2.4,4.63,4.75,3:44:57,3:45:28,31311,0.13,0.12,0.17691806
14,Smart Rotate Pointer,3D Task,3D Cube Translation,2,-1.38,-1.25,0.5,0.55,3:45:44,3:46:03,18575,0.13,0.05,0.139283883
14,Smart Trackpad,3D Task,3D Cube Translation,1,0.09,0.75,5.71,5.4,4:01:19,4:01:49,30445,0.66,-0.31,0.729177619
14,Smart Trackpad,3D Task,3D Cube Translation,2,-2.93,-3.05,5.22,5.3,4:01:49,4:02:32,43000,-0.12,0.08,0.144222051
14,Smart Tilt Pointer,3D Task,3D Cube Translation,1,6.6,6.58,-1.82,-1.76,3:02:29,3:02:56,27076,-0.02,0.06,0.063245553
14,Smart Tilt Pointer,3D Task,3D Cube Translation,2,1.55,1.38,-3.19,-3.2,3:03:17,3:03:42,25210,-0.17,-0.01,0.170293864
14,Smart Trackball,3D Task,3D Cube Translation,1,1.02,1.02,1.05,1.22,3:29:11,3:29:46,35459,0,0.17,0.17
14,Smart Trackball,3D Task,3D Cube Translation,2,9.79,9.7,-1.01,-0.98,3:30:02,3:30:30,1380,-0.09,0.03,0.09486833
14,Smart Rotate Pointer,3D Task,3D Cube Translation,1,2.53,2.5,-4.63,-4.86,3:44:57,3:45:28,31311,-0.03,-0.23,0.23194827
14,Smart Rotate Pointer,3D Task,3D Cube Translation,2,1.38,1.48,-0.5,-0.44,3:45:44,3:46:03,18575,0.1,0.06,0.116619038
14,Smart Trackpad,3D Task,3D Cube Translation,1,-0.09,-0.32,-5.71,-5.5,4:01:19,4:01:49,30445,-0.23,0.21,0.31144823
14,Smart Trackpad,3D Task,3D Cube Translation,2,2.93,3.04,-5.22,-5.44,4:01:49,4:02:32,43000,0.11,-0.22,0.245967478
15,Smart Tilt Pointer,3D Task,3D Cube Translation,1,-8.71,-8.95,1.92,2.05,20:26:26,20:26:54,27939,-0.24,0.13,0.272946881
15,Smart Tilt Pointer,3D Task,3D Cube Translation,2,1.33,1.25,-1.3,-1.15,20:27:09,20:27:25,15074,-0.08,0.15,0.17
15,Smart Trackpad,3D Task,3D Cube Translation,1,-7.46,-7.5,1.43,1.4,20:38:00,20:38:17,16461,-0.04,-0.03,0.05
15,Smart Trackpad,3D Task,3D Cube Translation,2,-3.76,-3.7,2.88,2.85,20:38:17,20:39:02,15220,0.06,-0.03,0.067082039
15,Smart Rotate Pointer,3D Task,3D Cube Translation,1,-2.15,-2.2,6.66,6.45,20:49:03,20:49:37,33232,-0.05,-0.21,0.215870331
15,Smart Rotate Pointer,3D Task,3D Cube Translation,2,-7.74,-7.65,-1.67,-1.5,20:49:54,20:50:33,39334,0.09,0.17,0.192353841
15,Smart Trackball,3D Task,3D Cube Translation,1,-8.25,-8.4,0.14,0.1,21:01:36,21:01:47,11370,-0.15,-0.04,0.155241747
15,Smart Trackball,3D Task,3D Cube Translation,2,-2.01,-2.05,1.57,1.55,21:02:21,21:02:34,12223,-0.04,-0.02,0.04472136
15,Smart Tilt Pointer,3D Task,3D Cube Translation,1,8.71,8.04,-1.92,-1.96,20:26:26,20:26:54,27939,-0.67,-0.04,0.671192968
15,Smart Tilt Pointer,3D Task,3D Cube Translation,2,-1.33,-1.42,1.3,1.24,20:27:09,20:27:25,15074,-0.09,-0.06,0.108166538
15,Smart Trackpad,3D Task,3D Cube Translation,1,7.46,7.3,-1.43,-1.52,20:38:00,20:38:17,16461,-0.16,-0.09,0.183575598
15,Smart Trackpad,3D Task,3D Cube Translation,2,3.76,3.82,-2.88,-3.06,20:38:17,20:39:02,15220,0.06,-0.18,0.18973666
15,Smart Rotate Pointer,3D Task,3D Cube Translation,1,2.15,2.22,-6.66,-6.68,20:49:03,20:49:37,33232,0.07,-0.02,0.072801099
15,Smart Rotate Pointer,3D Task,3D Cube Translation,2,7.74,7.56,1.67,1.88,20:49:54,20:50:33,39334,-0.18,0.21,0.276586334
15,Smart Trackball,3D Task,3D Cube Translation,1,8.25,8.3,-0.14,-0.22,21:01:36,21:01:47,11370,0.05,-0.08,0.094339811
15,Smart Trackball,3D Task,3D Cube Translation,2,2.01,1.98,-1.57,-1.7,21:02:21,21:02:34,12223,-0.03,-0.13,0.133416641
