Participant,Condition,Block,Task,Trial,temp.x,temp.y,temp.z,final.x,final.y,final.z,timems,templateformat.x,finalformat.x,error.x,templateformat.y,finalformat.y,error.y,templateformat.z,finalformat.z,error.z,errorneg.x,errorneg.y,errorneg.z,sumofsq,template.xp,template.yp,template.zp,final.xp,final.yp,final.zp,Euclidean_distance
6,Smart Rotate Pointer,3D Task,3D Model Rotation,3,-19.94492154,-59.93793426,-19.94492154,-1.427422455,-73.65491254,7.73364337,45000,379.9449215,361.4274225,-18.517499,419.9379343,433.6549125,13.71697828,379.9449215,7.73364337,-372.2112782,18.517499,13.7169782,372.2112781,139072.2888,0.471649576,6.175131077,0.056006621,6.258272086,4.997664573,0.13497754,5.905731441
6,Smart Trackpad,3D Task,3D Model Rotation,1,41.75220006,-24.81723468,41.75220006,64.17302505,-42.86503621,6.137378229,39000,41.75220006,64.17302505,22.42082499,384.8172347,402.8650362,18.04780153,41.75220006,6.137378229,-35.61482183,22.42082499,18.0478015,35.61482183,2096.832066,0.728713361,5.850042853,0.728713361,1.120030578,5.535049293,0.107117458,0.79920684
6,Smart Trackpad,3D Task,3D Model Rotation,2,25.98022032,-53.4469166,25.98022032,147.2463289,20.35103005,-145.5348845,45000,25.98022032,147.2463289,121.2661086,413.4469166,20.35103005,-393.0958866,25.98022032,505.5348845,479.5546642,121.2661086,393.0958866,479.5546642,399202.5211,0.453440385,5.350360686,0.453440385,2.56993325,0.355192481,3.743122396,6.344545309
6,Smart Trackpad,3D Task,3D Model Rotation,3,41.73530959,-24.86022422,41.73530959,41.23436432,9.050280877,68.21285594,45000,41.73530959,41.23436432,-0.50094527,384.8602242,9.050280877,-375.8099433,41.73530959,68.21285594,26.47754635,0.50094527,375.8099433,26.47754635,141934.4249,0.728418567,5.849292537,0.728418567,0.719675422,0.157957199,1.190538928,5.710072644
6,Smart Trackball,3D Task,3D Model Rotation,1,39.47397892,-30.30829501,39.47397892,23.77142198,-39.11896604,-129.5521363,41000,39.47397892,23.77142198,-15.70255694,390.308295,399.118966,8.81067103,39.47397892,489.5521363,450.0781574,15.70255694,8.810671,450.0781574,202894.546,0.688950901,5.754205781,0.688950901,0.414889581,5.60043055,4.022073976,3.347904697
6,Smart Trackball,3D Task,3D Model Rotation,2,-37.34589838,-34.93617363,-37.34589838,102.7033888,-70.76778304,151.174539,28000,397.3458984,102.7033888,-294.6425096,394.9361736,430.767783,35.83160941,397.3458984,151.174539,-246.1713594,294.6425096,35.8316094,246.1713594,148698.4509,5.631376418,5.673434044,5.631376418,1.792512288,5.048054483,2.63849345,4.907680294
6,Smart Trackball,3D Task,3D Model Rotation,3,39.17318502,-30.99002728,39.17318502,71.03469898,27.30485677,32.8239982,22000,39.17318502,71.03469898,31.86151396,390.9900273,27.30485677,-363.6851705,39.17318502,32.8239982,-6.34918682,31.86151396,363.6851705,6.34918682,133322.3715,0.683701057,5.742307308,0.683701057,1.23978938,0.476559648,0.572886842,5.296188482
7,Smart Trackball,3D Task,3D Model Rotation,1,34.45984495,-40.54960904,34.45984495,171.9755083,-49.82341831,-120.918126,30000,34.45984495,171.9755083,137.5156634,400.549609,409.8234183,9.27380927,34.45984495,480.918126,446.4582811,137.5156634,9.2738093,446.4582811,218321.558,0.601437754,5.575461102,0.601437754,3.001538853,5.413602613,4.172765883,4.305934052
7,Smart Trackball,3D Task,3D Model Rotation,2,40.21193561,-28.59469347,40.21193561,93.26942493,-67.61282408,-33.72806255,43000,40.21193561,93.26942493,53.05748932,388.5946935,427.6128241,39.01813061,40.21193561,393.7280626,353.5161269,53.05748932,39.0181306,353.516127,129311.1637,0.701830675,5.78411376,0.701830675,1.627858556,5.103118905,5.694519565,5.123302058
7,Smart Trackball,3D Task,3D Model Rotation,3,36.56335923,-36.52954729,36.56335923,178.6524552,-35.88456904,-120.0139063,29000,36.56335923,178.6524552,142.089096,396.5295473,395.884569,-0.64497825,36.56335923,480.0139063,443.4505471,142.089096,0.6449783,443.4505471,216838.1149,0.638151004,5.645624437,0.638151004,3.11807356,5.656881426,4.188547494,4.33075719
